Datetime,Tweet Id,Text,Username,likeCount,Username_encoded
2023-06-29 16:59:12+00:00,1674462534357893120,19180,0,854.0,0
2023-06-29 16:29:46+00:00,1674455125954564096,51971,0,449.0,0
2023-06-29 16:28:33+00:00,1674454818709188609,66541,0,535.0,0
2023-06-29 16:14:29+00:00,1674451277865181186,44027,0,552.0,0
2023-06-29 14:02:00+00:00,1674417940521971713,33730,0,466.0,0
2023-06-29 12:47:28+00:00,1674399181174341633,54358,0,1320.0,0
2023-06-29 10:41:22+00:00,1674367447384858624,61617,0,682.0,0
2023-06-29 08:52:56+00:00,1674340159347916800,66578,0,449.0,0
2023-06-29 08:17:01+00:00,1674331119452409861,48727,0,200.0,0
2023-06-29 08:16:30+00:00,1674330989080846338,66465,0,393.0,0
2023-06-29 05:29:12+00:00,1674288886779109381,32077,0,1838.0,0
2023-06-29 04:30:14+00:00,1674274049130893312,55597,0,739.0,0
2023-06-29 03:33:41+00:00,1674259816032915457,35103,0,1443.0,0
2023-06-29 03:11:00+00:00,1674254109489369088,65903,0,300.0,0
2023-06-28 17:00:02+00:00,1674100355448328192,66045,0,321.0,0
2023-06-28 16:13:33+00:00,1674088658285084673,66462,0,327.0,0
2023-06-28 16:00:00+00:00,1674085248152268803,66346,0,331.0,0
2023-06-28 15:02:14+00:00,1674070711441440768,33676,0,419.0,0
2023-06-28 14:17:12+00:00,1674059376166936578,46703,0,70.0,0
2023-06-28 14:12:53+00:00,1674058292010573835,46690,0,87.0,0
2023-06-28 14:10:21+00:00,1674057653121589249,46754,0,64.0,0
2023-06-28 14:10:14+00:00,1674057623824474114,66028,0,395.0,0
2023-06-28 13:32:02+00:00,1674048008642785280,49806,0,1128.0,0
2023-06-28 12:21:31+00:00,1674030262911651840,36512,0,636.0,0
2023-06-28 11:06:23+00:00,1674011356872478722,36579,0,1301.0,0
2023-06-28 10:50:49+00:00,1674007439207993344,64843,0,498.0,0
2023-06-28 10:29:48+00:00,1674002148189958146,65391,0,821.0,0
2023-06-28 10:23:02+00:00,1674000446065872896,22577,0,311.0,0
2023-06-28 10:10:38+00:00,1673997326468386819,65047,0,919.0,0
2023-06-28 09:53:28+00:00,1673993007375462401,29356,0,157.0,0
2023-06-28 08:50:17+00:00,1673977106752221187,32084,0,812.0,0
2023-06-28 05:18:01+00:00,1673923685475033088,66254,0,710.0,0
2023-06-28 04:30:18+00:00,1673911676515811333,61104,0,425.0,0
2023-06-28 03:23:36+00:00,1673894890965725189,65902,0,351.0,0
2023-06-28 03:04:09+00:00,1673889999786483712,31978,0,513.0,0
2023-06-27 15:30:00+00:00,1673715310111629316,53874,0,364.0,0
2023-06-27 14:30:00+00:00,1673700208532930563,66338,0,976.0,0
2023-06-27 13:30:00+00:00,1673685112138117127,51329,0,541.0,0
